"CONTACT_ID","AGE","FAMILYSIZE","YEAREXPERIENCE","ANNUALINCOME","EDUCATIONLEVEL_ID","NETPRICE_PRO11_AMT","NETPRICE_PRO12_AMT","NETPRICE_PRO13_AMT","NETPRICE_PRO14_AMT","NETPRICE_PRO15_AMT","NETPRICE_PRO16_AMT","NETPRICE_PRO17_AMT"
395,25,4,1,49,1,0.0,1.0,0.0,16.0,0.0,0.0,0.0
396,45,3,19,34,1,0.0,1.0,0.0,15.0,0.0,0.0,0.0
397,39,1,15,11,1,0.0,0.0,0.0,10.0,0.0,0.0,0.0
398,35,1,9,100,2,0.0,0.0,0.0,27.0,0.0,0.0,0.0
399,35,4,8,45,2,0.0,0.0,0.0,10.0,1.0,0.0,0.0
400,37,4,13,29,2,155.0,0.0,0.0,4.0,0.0,1.0,0.0
401,53,2,27,72,2,0.0,0.0,0.0,15.0,0.0,1.0,0.0
402,50,1,24,22,3,0.0,0.0,0.0,3.0,1.0,0.0,0.0
403,35,3,10,81,2,104.0,0.0,0.0,6.0,0.0,1.0,0.0
404,34,1,9,180,3,0.0,0.0,0.0,89.0,0.0,0.0,1.0
405,65,4,39,105,3,0.0,0.0,0.0,24.0,0.0,0.0,0.0
406,29,3,5,45,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0
407,48,2,23,114,3,0.0,1.0,0.0,38.0,0.0,0.0,0.0
408,59,4,32,40,2,0.0,0.0,0.0,25.0,0.0,1.0,0.0
409,67,1,41,112,1,0.0,1.0,0.0,20.0,0.0,0.0,0.0
410,60,1,30,22,3,0.0,0.0,0.0,15.0,1.0,1.0,0.0
411,38,4,14,130,3,134.0,0.0,0.0,47.0,0.0,0.0,1.0
412,42,4,18,81,1,0.0,0.0,0.0,24.0,0.0,0.0,0.0
413,46,2,21,193,3,0.0,0.0,0.0,81.0,0.0,0.0,1.0
414,55,1,28,21,2,0.0,1.0,0.0,5.0,1.0,0.0,0.0
415,56,4,31,25,2,111.0,0.0,0.0,9.0,0.0,1.0,0.0
416,257,3,27,63,3,0.0,0.0,0.0,20.0,0.0,1.0,0.0
417,129,1,5,62,1,260.0,0.0,0.0,12.0,0.0,1.0,0.0
418,444,2,18,43,1,163.0,1.0,0.0,7.0,0.0,0.0,0.0
419,36,2,11,152,1,159.0,0.0,0.0,39.0,1.0,0.0,0.0
420,43,3,19,29,1,97.0,0.0,0.0,5.0,0.0,1.0,0.0
421,40,4,16,83,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0
422,46,1,20,158,1,0.0,0.0,0.0,24.0,1.0,1.0,0.0
423,56,1,30,48,3,0.0,0.0,0.0,22.0,1.0,1.0,0.0
424,38,1,13,119,2,0.0,0.0,1.0,33.0,1.0,1.0,1.0
425,659,1,35,35,3,122.0,0.0,0.0,12.0,0.0,1.0,0.0
426,40,1,16,29,2,0.0,0.0,0.0,20.0,0.0,1.0,0.0
427,53,2,28,41,3,193.0,0.0,0.0,6.0,0.0,0.0,0.0
428,30,3,6,18,3,0.0,0.0,0.0,9.0,0.0,0.0,0.0
429,31,4,5,50,3,0.0,0.0,0.0,18.0,0.0,1.0,0.0
430,48,3,24,81,1,0.0,0.0,0.0,7.0,0.0,0.0,0.0
431,59,1,35,121,1,0.0,0.0,0.0,29.0,1.0,0.0,0.0
432,51,1,25,71,3,198.0,0.0,0.0,14.0,0.0,0.0,0.0
433,42,3,18,141,3,0.0,1.0,1.0,50.0,0.0,1.0,1.0
434,38,4,13,80,3,285.0,0.0,0.0,7.0,0.0,1.0,0.0
435,57,3,32,84,3,0.0,1.0,0.0,16.0,0.0,0.0,0.0
436,34,3,9,60,1,0.0,0.0,0.0,23.0,0.0,0.0,0.0
437,32,4,7,132,2,412.0,0.0,0.0,11.0,0.0,1.0,1.0
438,39,1,15,45,1,0.0,0.0,0.0,7.0,0.0,1.0,0.0
439,46,1,20,104,1,0.0,0.0,0.0,57.0,1.0,1.0,0.0
440,57,4,31,52,1,0.0,0.0,0.0,25.0,1.0,0.0,0.0
441,39,3,14,43,2,153.0,0.0,0.0,7.0,0.0,1.0,0.0
442,37,4,12,194,3,211.0,1.0,1.0,2.0,1.0,1.0,1.0
443,56,2,26,81,3,0.0,0.0,0.0,45.0,1.0,0.0,0.0
444,40,1,16,49,1,0.0,0.0,0.0,18.0,1.0,0.0,0.0
445,32,4,8,8,2,0.0,1.0,0.0,7.0,0.0,1.0,0.0
446,61,1,37,131,1,0.0,0.0,0.0,29.0,0.0,1.0,0.0
447,30,1,6,72,1,207.0,0.0,0.0,1.0,0.0,0.0,0.0
448,50,3,26,190,3,240.0,0.0,0.0,21.0,0.0,1.0,1.0
449,29,1,5,44,3,0.0,0.0,0.0,2.0,0.0,1.0,0.0
450,41,2,17,139,1,0.0,0.0,0.0,80.0,0.0,1.0,0.0
451,55,3,30,29,2,0.0,1.0,1.0,1.0,0.0,1.0,0.0
452,56,2,31,131,3,0.0,0.0,0.0,12.0,0.0,0.0,1.0
453,28,2,2,93,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0
454,31,2,5,188,1,455.0,0.0,0.0,45.0,0.0,0.0,0.0
455,49,3,24,39,2,0.0,1.0,0.0,17.0,0.0,1.0,0.0
456,47,1,21,125,1,112.0,1.0,0.0,57.0,0.0,0.0,0.0
457,42,1,18,22,1,0.0,0.0,0.0,10.0,0.0,0.0,0.0
458,42,4,17,32,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
459,47,2,23,105,1,0.0,0.0,0.0,33.0,0.0,0.0,0.0
460,59,1,35,131,1,0.0,0.0,0.0,38.0,1.0,1.0,0.0
461,62,2,36,105,1,336.0,0.0,0.0,28.0,0.0,0.0,0.0
462,53,4,23,45,3,132.0,1.0,0.0,20.0,0.0,0.0,0.0
463,47,3,21,60,1,0.0,0.0,0.0,21.0,1.0,1.0,0.0
464,53,4,29,20,1,0.0,0.0,0.0,2.0,0.0,1.0,0.0
465,42,1,18,115,1,0.0,0.0,0.0,35.0,1.0,0.0,0.0
466,53,4,29,69,2,0.0,0.0,0.0,10.0,0.0,1.0,0.0
467,44,1,20,130,1,0.0,0.0,0.0,50.0,1.0,0.0,0.0
468,41,1,16,85,3,0.0,0.0,0.0,40.0,1.0,1.0,0.0
469,28,2,3,135,1,0.0,0.0,0.0,33.0,1.0,0.0,0.0
470,31,4,7,135,2,0.0,0.0,1.0,38.0,1.0,1.0,1.0
471,58,3,32,12,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0
472,46,3,20,29,2,0.0,0.0,0.0,5.0,0.0,0.0,0.0
473,54,2,30,133,3,0.0,0.0,0.0,26.0,0.0,0.0,1.0
474,50,2,26,19,1,118.0,0.0,0.0,4.0,0.0,1.0,0.0
475,60,4,36,41,1,174.0,0.0,0.0,13.0,1.0,1.0,0.0
476,47,3,22,40,2,0.0,0.0,0.0,27.0,0.0,1.0,0.0
477,41,1,16,82,3,0.0,0.0,0.0,40.0,0.0,1.0,0.0
478,33,1,9,50,2,0.0,0.0,0.0,24.0,0.0,0.0,0.0
479,46,1,22,18,3,0.0,0.0,0.0,9.0,0.0,1.0,0.0
480,27,4,2,109,3,0.0,0.0,0.0,18.0,0.0,0.0,0.0
481,40,4,16,42,2,126.0,0.0,0.0,22.0,0.0,0.0,0.0
482,48,3,22,78,1,0.0,0.0,0.0,11.0,0.0,1.0,0.0
483,65,2,41,51,1,0.0,0.0,0.0,11.0,0.0,1.0,0.0
484,25,4,0,113,3,0.0,0.0,0.0,23.0,1.0,0.0,0.0
485,55,4,30,118,2,0.0,0.0,0.0,56.0,0.0,1.0,1.0
486,35,4,10,29,3,0.0,0.0,0.0,11.0,0.0,1.0,0.0
487,43,3,19,34,2,0.0,0.0,0.0,6.0,0.0,0.0,0.0
488,60,2,34,64,3,236.0,1.0,0.0,17.0,0.0,1.0,0.0
489,65,1,39,121,1,0.0,0.0,0.0,20.0,0.0,0.0,0.0
490,38,4,12,48,3,0.0,0.0,0.0,2.0,0.0,1.0,0.0
491,41,1,15,80,1,0.0,0.0,0.0,52.0,0.0,0.0,0.0
492,54,1,28,161,1,0.0,0.0,0.0,29.0,0.0,1.0,0.0
493,49,1,23,94,1,0.0,0.0,0.0,3.0,0.0,1.0,0.0
494,66,3,41,15,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0
495,48,1,23,74,1,0.0,0.0,0.0,12.0,0.0,1.0,0.0
496,61,3,36,30,2,0.0,0.0,0.0,13.0,0.0,0.0,0.0
497,53,3,23,44,3,198.0,0.0,0.0,10.0,1.0,1.0,0.0
498,43,2,18,22,2,0.0,0.0,0.0,3.0,0.0,1.0,0.0
499,56,4,32,38,1,166.0,0.0,0.0,13.0,1.0,1.0,0.0
500,24,3,0,35,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0
501,43,4,17,69,1,0.0,0.0,0.0,29.0,1.0,1.0,0.0
502,42,1,18,43,1,136.0,0.0,0.0,7.0,0.0,0.0,0.0
503,33,1,7,32,3,166.0,0.0,0.0,6.0,0.0,1.0,0.0
504,43,1,17,49,1,0.0,0.0,0.0,28.0,0.0,1.0,0.0
505,41,3,14,9,2,0.0,0.0,0.0,10.0,0.0,0.0,0.0
506,62,4,38,45,2,0.0,0.0,0.0,13.0,0.0,1.0,0.0
