"EMPLOYEE_ID","AGE","FAMILYSIZE","YEAREXPERIENCE","ANNUALINCOME","EDUCATIONLEVEL_ID","NETPRICE_PRO11_AMT","NETPRICE_PRO12_AMT","NETPRICE_PRO13_AMT","NETPRICE_PRO14_AMT","NETPRICE_PRO15_AMT","NETPRICE_PRO16_AMT","NETPRICE_PRO17_AMT"
395,26,4,2,49,1,0.0,1.0,0.0,16.0,0.0,0.0,0.0
396,46,3,20,34,1,0.0,1.0,0.0,15.0,0.0,0.0,0.0
397,40,1,16,11,1,0.0,0.0,0.0,10.0,0.0,0.0,0.0
398,36,1,10,100,2,0.0,0.0,0.0,27.0,0.0,0.0,0.0
399,36,4,9,45,2,0.0,0.0,0.0,10.0,1.0,0.0,0.0
400,38,4,14,29,2,155.0,0.0,0.0,4.0,0.0,1.0,0.0
401,54,2,28,72,2,0.0,0.0,0.0,15.0,0.0,1.0,0.0
402,51,1,25,22,3,0.0,0.0,0.0,3.0,1.0,0.0,0.0
403,36,3,11,81,2,104.0,0.0,0.0,6.0,0.0,1.0,0.0
404,35,1,10,180,3,0.0,0.0,0.0,89.0,0.0,0.0,1.0
405,66,4,40,105,3,0.0,0.0,0.0,24.0,0.0,0.0,0.0
406,30,3,6,45,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0
407,49,2,24,114,3,0.0,1.0,0.0,38.0,0.0,0.0,0.0
408,60,4,33,40,2,0.0,0.0,0.0,25.0,0.0,1.0,0.0
409,68,1,42,112,1,0.0,1.0,0.0,20.0,0.0,0.0,0.0
410,61,1,31,22,3,0.0,0.0,0.0,15.0,1.0,1.0,0.0
411,39,4,15,130,3,134.0,0.0,0.0,47.0,0.0,0.0,1.0
412,43,4,19,81,1,0.0,0.0,0.0,24.0,0.0,0.0,0.0
413,47,2,22,193,3,0.0,0.0,0.0,81.0,0.0,0.0,1.0
414,56,1,29,21,2,0.0,1.0,0.0,5.0,1.0,0.0,0.0
415,57,4,32,25,2,111.0,0.0,0.0,9.0,0.0,1.0,0.0
416,58,3,28,63,3,0.0,0.0,0.0,20.0,0.0,1.0,0.0
417,30,1,6,62,1,260.0,0.0,0.0,12.0,0.0,1.0,0.0
418,45,2,19,43,1,163.0,1.0,0.0,7.0,0.0,0.0,0.0
419,37,2,12,152,1,159.0,0.0,0.0,39.0,1.0,0.0,0.0
420,44,3,20,29,1,97.0,0.0,0.0,5.0,0.0,1.0,0.0
421,41,4,17,83,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0
422,47,1,21,158,1,0.0,0.0,0.0,24.0,1.0,1.0,0.0
423,57,1,31,48,3,0.0,0.0,0.0,22.0,1.0,1.0,0.0
424,39,1,14,119,2,0.0,0.0,1.0,33.0,1.0,1.0,1.0
425,60,1,36,35,3,122.0,0.0,0.0,12.0,0.0,1.0,0.0
426,41,1,17,29,2,0.0,0.0,0.0,20.0,0.0,1.0,0.0
427,54,2,29,41,3,193.0,0.0,0.0,6.0,0.0,0.0,0.0
428,31,3,7,18,3,0.0,0.0,0.0,9.0,0.0,0.0,0.0
429,32,4,6,50,3,0.0,0.0,0.0,18.0,0.0,1.0,0.0
430,49,3,25,81,1,0.0,0.0,0.0,7.0,0.0,0.0,0.0
431,60,1,36,121,1,0.0,0.0,0.0,29.0,1.0,0.0,0.0
432,52,1,26,71,3,198.0,0.0,0.0,14.0,0.0,0.0,0.0
433,43,3,19,141,3,0.0,1.0,1.0,50.0,0.0,1.0,1.0
434,39,4,14,80,3,285.0,0.0,0.0,7.0,0.0,1.0,0.0
435,58,3,33,84,3,0.0,1.0,0.0,16.0,0.0,0.0,0.0
436,35,3,10,60,1,0.0,0.0,0.0,23.0,0.0,0.0,0.0
437,33,4,8,132,2,412.0,0.0,0.0,11.0,0.0,1.0,1.0
438,40,1,16,45,1,0.0,0.0,0.0,7.0,0.0,1.0,0.0
439,47,1,21,104,1,0.0,0.0,0.0,57.0,1.0,1.0,0.0
440,58,4,32,52,1,0.0,0.0,0.0,25.0,1.0,0.0,0.0
